num_date_time,answer
1_20220825 00,1733.9098
1_20220825 01,1733.9098
1_20220825 02,1733.9098
1_20220825 03,1037.352
1_20220825 04,1037.352
1_20220825 05,1215.9557
1_20220825 06,1748.5339
1_20220825 07,1748.5339
1_20220825 08,2860.853
1_20220825 09,2860.853
1_20220825 10,3895.584
1_20220825 11,3895.584
1_20220825 12,3895.584
1_20220825 13,3895.584
1_20220825 14,3895.584
1_20220825 15,3895.584
1_20220825 16,3895.584
1_20220825 17,3895.584
1_20220825 18,2348.446
1_20220825 19,2348.446
1_20220825 20,2348.446
1_20220825 21,1787.128
1_20220825 22,1311.732
1_20220825 23,1311.732
1_20220826 00,1037.352
1_20220826 01,1037.352
1_20220826 02,1037.352
1_20220826 03,1037.352
1_20220826 04,1037.352
1_20220826 05,1215.9557
1_20220826 06,1383.209
1_20220826 07,1751.117
1_20220826 08,2860.853
1_20220826 09,2860.853
1_20220826 10,3895.584
1_20220826 11,3895.584
1_20220826 12,3895.584
1_20220826 13,3895.584
1_20220826 14,3895.584
1_20220826 15,3895.584
1_20220826 16,3895.584
1_20220826 17,3895.584
1_20220826 18,2348.446
1_20220826 19,2348.446
1_20220826 20,2348.446
1_20220826 21,1787.128
1_20220826 22,1311.732
1_20220826 23,1311.732
1_20220827 00,1733.9098
1_20220827 01,1733.9098
1_20220827 02,1037.352
1_20220827 03,1037.352
1_20220827 04,1037.352
1_20220827 05,1215.9557
1_20220827 06,1383.209
1_20220827 07,1751.117
1_20220827 08,2860.853
1_20220827 09,2860.853
1_20220827 10,3895.584
1_20220827 11,3895.584
1_20220827 12,3895.584
1_20220827 13,3895.584
1_20220827 14,3895.584
1_20220827 15,3895.584
1_20220827 16,3895.584
1_20220827 17,3895.584
1_20220827 18,2348.446
1_20220827 19,2348.446
1_20220827 20,2348.446
1_20220827 21,1787.128
1_20220827 22,1311.732
1_20220827 23,1311.732
1_20220828 00,1037.352
1_20220828 01,1037.352
1_20220828 02,1037.352
1_20220828 03,1037.352
1_20220828 04,1037.352
1_20220828 05,1215.9557
1_20220828 06,1383.209
1_20220828 07,1751.117
1_20220828 08,2860.853
1_20220828 09,2860.853
1_20220828 10,3895.584
1_20220828 11,3895.584
1_20220828 12,3895.584
1_20220828 13,3895.584
1_20220828 14,3895.584
1_20220828 15,3895.584
1_20220828 16,3895.584
1_20220828 17,3895.584
1_20220828 18,2850.455
1_20220828 19,2850.455
1_20220828 20,2348.446
1_20220828 21,1787.128
1_20220828 22,1311.732
1_20220828 23,1311.732
1_20220829 00,1733.9098
1_20220829 01,1037.352
1_20220829 02,1037.352
1_20220829 03,1037.352
1_20220829 04,1037.352
1_20220829 05,1215.9557
1_20220829 06,1383.209
1_20220829 07,1751.117
1_20220829 08,2860.853
1_20220829 09,2860.853
1_20220829 10,3895.584
1_20220829 11,3895.584
1_20220829 12,3895.584
1_20220829 13,3895.584
1_20220829 14,3895.584
1_20220829 15,3895.584
1_20220829 16,3895.584
1_20220829 17,3895.584
1_20220829 18,2348.446
1_20220829 19,2348.446
1_20220829 20,2348.446
1_20220829 21,1787.128
1_20220829 22,1311.732
1_20220829 23,1311.732
1_20220830 00,1037.352
1_20220830 01,1037.352
1_20220830 02,1037.352
1_20220830 03,1037.352
1_20220830 04,1037.352
1_20220830 05,1867.7627
1_20220830 06,1383.209
1_20220830 07,1751.117
1_20220830 08,2860.853
1_20220830 09,2860.853
1_20220830 10,3895.584
1_20220830 11,3895.584
1_20220830 12,3895.584
1_20220830 13,3895.584
1_20220830 14,3895.584
1_20220830 15,3895.584
1_20220830 16,3895.584
1_20220830 17,3895.584
1_20220830 18,2348.446
1_20220830 19,2348.446
1_20220830 20,2348.446
1_20220830 21,1787.128
1_20220830 22,1311.732
1_20220830 23,1311.732
1_20220831 00,1037.352
1_20220831 01,1037.352
1_20220831 02,1037.352
1_20220831 03,1037.352
1_20220831 04,1037.352
1_20220831 05,1215.9557
1_20220831 06,1383.209
1_20220831 07,1751.117
1_20220831 08,2860.853
1_20220831 09,2860.853
1_20220831 10,3895.584
1_20220831 11,3895.584
1_20220831 12,3895.584
1_20220831 13,3895.584
1_20220831 14,3895.584
1_20220831 15,3895.584
1_20220831 16,3895.584
1_20220831 17,3895.584
1_20220831 18,2348.446
1_20220831 19,2348.446
1_20220831 20,2348.446
1_20220831 21,1787.128
1_20220831 22,1311.732
1_20220831 23,1311.732
2_20220825 00,1214.6562
2_20220825 01,1214.6562
2_20220825 02,1214.6562
2_20220825 03,1214.6562
2_20220825 04,1214.6562
2_20220825 05,1214.6562
2_20220825 06,1214.6562
2_20220825 07,1214.6562
2_20220825 08,1927.704
2_20220825 09,1927.704
2_20220825 10,1927.704
2_20220825 11,1927.704
2_20220825 12,1927.704
2_20220825 13,1927.704
2_20220825 14,1927.704
2_20220825 15,1927.704
2_20220825 16,1927.704
2_20220825 17,1927.704
2_20220825 18,1927.704
2_20220825 19,1927.704
2_20220825 20,1927.704
2_20220825 21,1787.128
2_20220825 22,1311.732
2_20220825 23,1311.732
2_20220826 00,1214.6562
2_20220826 01,1214.6562
2_20220826 02,1214.6562
2_20220826 03,1214.6562
2_20220826 04,1214.6562
2_20220826 05,1214.6562
2_20220826 06,1214.6562
2_20220826 07,1214.6562
2_20220826 08,1927.704
2_20220826 09,1927.704
2_20220826 10,1927.704
2_20220826 11,1927.704
2_20220826 12,1927.704
2_20220826 13,1927.704
2_20220826 14,1927.704
2_20220826 15,1927.704
2_20220826 16,1927.704
2_20220826 17,1927.704
2_20220826 18,1927.704
2_20220826 19,1927.704
2_20220826 20,1927.704
2_20220826 21,1787.128
2_20220826 22,1311.732
2_20220826 23,1311.732
2_20220827 00,1214.6562
2_20220827 01,1214.6562
2_20220827 02,1214.6562
2_20220827 03,1214.6562
2_20220827 04,1214.6562
2_20220827 05,968.4559
2_20220827 06,968.4559
2_20220827 07,968.4559
2_20220827 08,1927.704
2_20220827 09,1927.704
2_20220827 10,1927.704
2_20220827 11,1927.704
2_20220827 12,1927.704
2_20220827 13,1927.704
2_20220827 14,1927.704
2_20220827 15,1927.704
2_20220827 16,1927.704
2_20220827 17,1927.704
2_20220827 18,1927.704
2_20220827 19,1927.704
2_20220827 20,1927.704
2_20220827 21,1787.128
2_20220827 22,1311.732
2_20220827 23,1311.732
