num_date_time,answer
1_20220825 00,2151.959
1_20220825 01,2137.762
1_20220825 02,2042.7703
1_20220825 03,1738.7106
1_20220825 04,1717.3069
1_20220825 05,1810.3654
1_20220825 06,1929.259
1_20220825 07,2306.2673
1_20220825 08,2646.2812
1_20220825 09,2910.589
1_20220825 10,3849.8748
1_20220825 11,3734.361
1_20220825 12,3804.5176
1_20220825 13,3858.8271
1_20220825 14,3925.5247
1_20220825 15,3709.2678
1_20220825 16,3653.1287
1_20220825 17,3467.4932
1_20220825 18,2605.2554
1_20220825 19,2372.2795
1_20220825 20,2194.5176
1_20220825 21,1876.1975
1_20220825 22,1542.4172
1_20220825 23,1899.1268
1_20220826 00,1846.5006
1_20220826 01,1823.3105
1_20220826 02,1755.957
1_20220826 03,1734.2362
1_20220826 04,1755.501
1_20220826 05,1783.5558
1_20220826 06,1845.5757
1_20220826 07,2286.6177
1_20220826 08,2641.736
1_20220826 09,2964.2368
1_20220826 10,3607.797
1_20220826 11,4091.8262
1_20220826 12,4334.2827
1_20220826 13,4368.035
1_20220826 14,4279.874
1_20220826 15,4139.415
1_20220826 16,4103.71
1_20220826 17,3628.445
1_20220826 18,2684.506
1_20220826 19,2503.3474
1_20220826 20,2275.9448
1_20220826 21,1928.804
1_20220826 22,1516.7126
1_20220826 23,1927.1665
1_20220827 00,2114.7
1_20220827 01,2107.869
1_20220827 02,1891.1935
1_20220827 03,1701.5408
1_20220827 04,1748.004
1_20220827 05,1745.2067
1_20220827 06,1961.4502
1_20220827 07,2270.9866
1_20220827 08,2569.2595
1_20220827 09,2889.1145
1_20220827 10,3648.6963
1_20220827 11,3698.448
1_20220827 12,3864.1497
1_20220827 13,3727.3057
1_20220827 14,3744.805
1_20220827 15,3732.8008
1_20220827 16,3636.669
1_20220827 17,3249.5935
1_20220827 18,2480.2666
1_20220827 19,2162.952
1_20220827 20,2059.6638
1_20220827 21,1845.5039
1_20220827 22,1461.2961
1_20220827 23,1801.9237
1_20220828 00,1848.3234
1_20220828 01,1786.9052
1_20220828 02,1740.312
1_20220828 03,1719.4148
1_20220828 04,1719.9402
1_20220828 05,1814.9119
1_20220828 06,1919.8944
1_20220828 07,2256.0742
1_20220828 08,2616.8079
1_20220828 09,2925.3457
1_20220828 10,3656.5476
1_20220828 11,4033.4429
1_20220828 12,3768.1213
1_20220828 13,3730.8967
1_20220828 14,3824.6248
1_20220828 15,3741.8926
1_20220828 16,3564.1338
1_20220828 17,3384.4438
1_20220828 18,2701.4155
1_20220828 19,2294.752
1_20220828 20,2207.311
1_20220828 21,1924.4199
1_20220828 22,1597.0033
1_20220828 23,2012.6101
1_20220829 00,2248.0054
1_20220829 01,2171.796
1_20220829 02,2051.6086
1_20220829 03,2018.2098
1_20220829 04,1941.787
1_20220829 05,1839.8153
1_20220829 06,1953.1482
1_20220829 07,2264.6052
1_20220829 08,2611.5415
1_20220829 09,2832.3591
1_20220829 10,3519.7002
1_20220829 11,3773.4065
1_20220829 12,3666.4033
1_20220829 13,3918.488
1_20220829 14,3805.0156
1_20220829 15,3799.9397
1_20220829 16,3708.1362
1_20220829 17,3315.6702
1_20220829 18,2506.1987
1_20220829 19,2337.4307
1_20220829 20,2147.9297
1_20220829 21,1890.6572
1_20220829 22,1442.4492
1_20220829 23,1826.2112
1_20220830 00,1774.3804
1_20220830 01,1762.9045
1_20220830 02,1749.4884
1_20220830 03,1693.8604
1_20220830 04,1693.4597
1_20220830 05,1800.4971
1_20220830 06,1894.1624
1_20220830 07,2101.99
1_20220830 08,2539.6445
1_20220830 09,2848.5479
1_20220830 10,3547.921
1_20220830 11,3742.9424
1_20220830 12,3772.2322
1_20220830 13,3733.5652
1_20220830 14,3721.8943
1_20220830 15,3758.9382
1_20220830 16,3657.6616
1_20220830 17,3313.5977
1_20220830 18,2433.0571
1_20220830 19,2218.3162
1_20220830 20,2075.5127
1_20220830 21,1766.4874
1_20220830 22,1432.3665
1_20220830 23,1766.3385
1_20220831 00,1703.3518
1_20220831 01,1667.6628
1_20220831 02,1535.7361
1_20220831 03,1539.7303
1_20220831 04,1524.0051
1_20220831 05,1614.5752
1_20220831 06,1734.1138
1_20220831 07,2037.7893
1_20220831 08,2301.5474
1_20220831 09,2558.9
1_20220831 10,3300.6133
1_20220831 11,3369.6213
1_20220831 12,3338.787
1_20220831 13,3331.4563
1_20220831 14,3352.725
1_20220831 15,3311.7693
1_20220831 16,3266.5815
1_20220831 17,3265.807
1_20220831 18,2551.529
1_20220831 19,2373.5774
1_20220831 20,2164.6077
1_20220831 21,1841.4288
1_20220831 22,1541.651
1_20220831 23,1849.9692
2_20220825 00,1281.7017
2_20220825 01,1258.62
2_20220825 02,1260.8639
2_20220825 03,1231.6399
2_20220825 04,1210.5936
2_20220825 05,1223.9752
2_20220825 06,1220.9913
2_20220825 07,1172.3037
2_20220825 08,1650.4037
2_20220825 09,1867.0413
2_20220825 10,2263.464
2_20220825 11,2254.173
2_20220825 12,2316.666
